MAZ,geometry,Population,area_acres,TAZ
102,POINT (567923.5637737849 4188334.5659111533),993.0000,102.2806,916
103,POINT (567895.258807262 4188103.9719839976),1244.0000,105.3289,916
104,POINT (567117.1228770186 4187769.4727774845),1246.0000,465.0443,916
105,POINT (567302.8463834147 4189193.0649051764),1195.0000,251.0644,915
106,POINT (566766.8205303056 4188856.5511544314),875.0000,84.8548,915
107,POINT (566639.6718877989 4188466.1150677553),1148.0000,121.5563,915
108,POINT (568700.3634922282 4189371.500526285),2376.0000,544.0837,914
109,POINT (568892.8582248491 4188051.0585844577),1232.0000,138.2053,914
110,POINT (569710.1318240077 4188927.2867381903),1706.0000,335.0084,914
111,POINT (569017.546667228 4186833.397158707),1677.0000,269.9180,919
112,POINT (570057.6374383275 4188422.828656823),903.0000,125.5871,913
113,POINT (569808.9053713013 4187843.1633388116),1337.0000,167.9967,913
114,POINT (570878.116831921 4188021.7676994046),1664.0000,198.4017,913
115,POINT (569911.466947021 4187186.2561956393),1880.0000,266.4690,913
116,POINT (570942.5877129086 4187253.3413122925),1102.0000,165.6824,912
117,POINT (571253.8801377404 4187195.232365109),737.0000,89.2492,912
118,POINT (571085.7292642612 4186539.3271248867),1127.0000,150.3515,912
119,POINT (571243.7262507289 4185704.0771664707),1387.0000,786.8955,912
120,POINT (569624.655701689 4185539.1949917576),870.0000,149.8639,920
121,POINT (569980.412375863 4185260.615711827),1084.0000,146.5022,920
122,POINT (569361.1099206028 4184325.5988132483),1374.0000,61.7746,921
123,POINT (569196.2110210034 4184661.133612833),1310.0000,93.4020,921
124,POINT (568908.0474890027 4184784.3528903937),850.0000,58.3545,922
125,POINT (568741.3822083975 4184118.0680188946),1076.0000,59.0461,922
126,POINT (568205.5037766777 4184106.2715606485),1026.0000,56.2048,922
127,POINT (568321.0148097092 4184442.3518195),1177.0000,76.0915,922
128,POINT (568731.1499180789 4185075.6340412493),704.0000,39.6196,937
129,POINT (568341.0634381858 4184945.923717398),1168.0000,64.6603,937
130,POINT (567426.864202684 4184633.156278663),1264.0000,93.3614,937
131,POINT (568118.5659551854 4185138.5457238834),1012.0000,80.4738,938
132,POINT (567614.4914641946 4184985.4529742836),693.0000,49.0347,938
133,POINT (567089.9721849011 4184984.49198594),883.0000,69.7629,938
134,POINT (567119.8004393608 4185347.5663502947),615.0000,41.3727,938
135,POINT (567699.1479791412 4185417.396692046),994.0000,69.6376,938
136,POINT (566977.0323222248 4184424.249886401),1243.0000,80.7263,943
137,POINT (566332.2300178257 4184210.946817333),1027.0000,37.5748,943
138,POINT (566487.0761716425 4184563.4421038707),1045.0000,53.0642,943
139,POINT (566267.5316628739 4184731.376560849),1282.0000,40.5344,943
140,POINT (565962.9921860152 4184176.0481936447),1778.0000,37.3914,944
141,POINT (565792.0244541689 4184006.4265366285),825.0000,18.8487,944
142,POINT (565539.6849582681 4183784.0089228237),1337.0000,27.6400,944
143,POINT (565778.4629786859 4183646.176224783),1193.0000,23.1216,944
144,POINT (566201.8827524119 4183668.649111571),1547.0000,29.7630,934
145,POINT (566079.7371023761 4183477.5242988453),1385.0000,24.2985,934
146,POINT (565918.5498577274 4183329.713226669),1025.0000,23.4592,934
147,POINT (566296.6219743894 4183080.3077425514),2037.0000,47.1862,934
148,POINT (566537.3563614542 4183299.703290807),1077.0000,23.2809,934
149,POINT (566853.1372790888 4183438.908507682),649.0000,23.7092,935
150,POINT (566705.1789623607 4183600.469092696),1038.0000,23.7642,935
151,POINT (566558.2832201452 4183763.3102994394),872.0000,23.6869,935
152,POINT (566420.8493492259 4183944.6882377956),1084.0000,30.5080,935
153,POINT (567404.4052665404 4184177.51794336),690.0000,29.6020,936
